WeatherPy_Database.csv,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Khorinsk,RU,2020-10-04 03:34:42,52.17,109.77,39.76,62,0,7.05
61,Castro,BR,2020-10-04 03:31:43,-24.79,-50.01,59.58,84,83,13.87
62,Half Moon Bay,US,2020-10-04 03:32:06,37.46,-122.43,69.01,64,5,3.36
63,Oriximina,BR,2020-10-04 03:34:42,-1.77,-55.87,81.66,59,0,3.38
64,Khatanga,RU,2020-10-04 03:31:49,71.97,102.5,25.68,98,99,13.44
65,Honningsvag,NO,2020-10-04 03:34:42,70.98,25.97,47.39,80,1,8.37
66,Kashi,CN,2020-10-04 03:34:42,39.45,75.98,59.0,28,75,6.71
67,Plettenberg Bay,ZA,2020-10-04 03:31:57,-34.05,23.37,55.92,81,0,4.32
68,Glenwood Springs,US,2020-10-04 03:32:05,39.55,-107.32,48.99,24,1,6.93
69,Hilo,US,2020-10-04 03:31:27,19.73,-155.09,82.4,65,1,5.82
70,Faanui,PF,2020-10-04 03:31:42,-16.48,-151.75,78.19,75,42,16.53
71,Mataura,NZ,2020-10-04 03:31:40,-46.19,168.86,48.99,96,100,3.0
72,Vostok,RU,2020-10-04 03:32:23,46.49,135.88,55.62,46,0,4.5
73,Olafsvik,IS,2020-10-04 03:32:01,64.89,-23.71,42.39,84,99,10.74
74,Tasiilaq,GL,2020-10-04 03:31:37,65.61,-37.64,33.8,69,86,2.24
75,Hofn,IS,2020-10-04 03:32:02,64.25,-15.21,47.97,89,100,6.11
76,Camocim,BR,2020-10-04 03:34:43,-2.9,-40.84,74.75,85,4,11.52
77,Cape Town,ZA,2020-10-04 03:31:46,-33.93,18.42,57.0,93,0,1.12
78,Jalu,LY,2020-10-04 03:32:19,29.03,21.55,79.12,32,0,10.96
79,Egvekinot,RU,2020-10-04 03:31:48,66.32,-179.17,30.07,90,89,6.33
80,Polyarnyy,RU,2020-10-04 03:34:43,69.2,33.45,42.8,87,40,4.47
81,Hobart,AU,2020-10-04 03:28:08,-42.88,147.33,51.8,93,75,10.29
82,Fare,PF,2020-10-04 03:34:43,-16.7,-151.02,78.91,75,9,15.37
83,Nakapiripirit,UG,2020-10-04 03:34:43,1.92,34.78,67.08,70,1,2.84
84,New Norfolk,AU,2020-10-04 03:31:40,-42.78,147.06,51.01,92,100,2.73
85,Wanxian,CN,2020-10-04 03:34:44,30.8,108.39,63.82,86,100,6.35
86,Kapit,MY,2020-10-04 03:34:44,2.02,112.93,76.42,93,100,0.38
87,Isangel,VU,2020-10-04 03:34:44,-19.55,169.27,78.8,69,40,11.41
88,Middlebury,US,2020-10-04 03:33:44,44.02,-73.17,46.99,100,90,1.12
89,Kutum,SD,2020-10-04 03:34:44,14.2,24.67,76.24,50,30,3.04
90,Aras,ES,2020-10-04 03:34:44,42.56,-2.36,48.0,93,1,2.24
91,Georgetown,MY,2020-10-04 03:31:40,5.41,100.34,86.0,74,20,4.7
92,Nantucket,US,2020-10-04 03:30:29,41.28,-70.1,62.85,61,0,8.05
93,Hermanus,ZA,2020-10-04 03:31:41,-34.42,19.23,57.99,88,25,8.01
94,Honiara,SB,2020-10-04 03:32:01,-9.43,159.95,87.8,58,20,12.75
95,Luderitz,NA,2020-10-04 03:32:00,-26.65,15.16,53.56,82,0,4.85
96,Airai,TL,2020-10-04 03:31:45,-8.93,125.41,78.89,43,83,5.23
97,Avarua,CK,2020-10-04 03:31:46,-21.21,-159.78,77.0,73,43,11.41
98,Tiksi,RU,2020-10-04 03:31:42,71.69,128.87,25.47,95,94,20.51
99,Constitucion,CL,2020-10-04 03:31:38,-35.33,-72.42,45.0,70,13,8.63
100,Karwar,IN,2020-10-04 03:34:45,14.8,74.13,80.11,80,94,5.73
101,Sur,OM,2020-10-04 03:32:21,22.57,59.53,90.5,33,0,3.06
102,Tuktoyaktuk,CA,2020-10-04 03:31:48,69.45,-133.04,41.0,100,75,8.05
103,Komsomolskiy,UZ,2020-10-04 03:31:54,40.43,71.72,59.0,38,97,2.24
104,Qaanaaq,GL,2020-10-04 03:31:37,77.48,-69.36,20.05,91,99,0.89
105,Jian,CN,2020-10-04 03:34:45,27.12,114.98,69.15,92,100,10.76
106,Salalah,OM,2020-10-04 03:31:47,17.02,54.09,75.2,69,20,6.93
107,Zinacantan,MX,2020-10-04 03:34:45,16.75,-92.7,71.6,78,90,16.11
108,Kodiak,US,2020-10-04 03:32:10,57.79,-152.41,50.0,66,1,4.7
109,Vigrestad,NO,2020-10-04 03:34:45,58.57,5.7,60.01,76,99,8.01
110,Ribeira Grande,PT,2020-10-04 03:31:41,38.52,-28.7,69.42,82,89,13.29
111,Arlit,NE,2020-10-04 03:32:29,18.74,7.39,86.7,43,95,7.0
112,Ukiah,US,2020-10-04 03:30:02,39.15,-123.21,78.8,22,1,4.29
113,Bengkulu,ID,2020-10-04 03:31:45,-3.8,102.27,83.89,69,100,9.35
114,Bend,US,2020-10-04 03:34:45,44.06,-121.32,66.2,32,1,5.82
115,Akdepe,TM,2020-10-04 03:34:46,42.06,59.38,48.2,36,13,6.93
116,Baykit,RU,2020-10-04 03:34:46,61.67,96.37,41.2,88,100,6.22
117,Shingu,JP,2020-10-04 03:30:19,33.73,135.98,77.0,73,75,6.93
118,Yellowknife,CA,2020-10-04 03:31:46,62.46,-114.35,50.0,81,75,11.41
119,Usoke,TZ,2020-10-04 03:34:46,-5.17,32.35,69.8,52,20,5.82
