WeatherPy_Database.csv,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
306,Felipe Carrillo Puerto,MX,2020-10-04 03:34:59,19.58,-88.05,73.78,92,100,6.4
307,Rawson,AR,2020-10-04 03:34:59,-43.3,-65.1,48.36,51,0,20.45
308,Susehri,TR,2020-10-04 03:34:59,40.16,38.09,52.65,66,0,2.75
309,Ponnani,IN,2020-10-04 03:34:59,10.77,75.93,77.0,83,40,3.18
310,Aberdeen,GB,2020-10-04 03:34:59,57.14,-2.1,55.4,93,100,18.34
311,Pratapgarh,IN,2020-10-04 03:34:59,24.03,74.78,81.25,48,99,5.66
312,Margate,GB,2020-10-04 03:31:51,51.38,1.39,52.0,92,100,5.01
313,Ihosy,MG,2020-10-04 03:35:00,-22.4,46.12,65.55,79,74,5.97
314,Voi,KE,2020-10-04 03:35:00,-3.39,38.56,69.67,78,82,6.22
315,Aksu,CN,2020-10-04 03:32:04,41.12,80.26,62.85,29,43,3.58
316,Nokaneng,BW,2020-10-04 03:35:00,-19.67,22.27,73.87,32,41,7.0
317,Kropotkin,RU,2020-10-04 03:35:00,45.44,40.58,57.09,80,12,10.42
318,Cayenne,GF,2020-10-04 03:30:05,4.93,-52.33,77.0,100,23,2.24
319,Chifeng,CN,2020-10-04 03:35:00,42.27,118.96,53.69,41,0,24.54
320,Lagoa,PT,2020-10-04 03:31:40,39.05,-27.98,69.8,84,96,12.95
321,Myre,NO,2020-10-04 03:35:00,69.1,15.95,46.99,81,0,5.82
322,Areia Branca,BR,2020-10-04 03:35:00,-4.96,-37.14,74.21,75,66,12.93
323,Pokaran,IN,2020-10-04 03:35:00,26.92,71.92,88.54,39,0,9.91
324,Porto Novo,BJ,2020-10-04 03:35:00,6.5,2.6,78.8,83,40,9.17
325,Lorengau,PG,2020-10-04 03:32:16,-2.02,147.27,86.4,66,87,10.49
326,Upernavik,GL,2020-10-04 03:31:51,72.79,-56.15,28.72,92,28,4.36
327,Lavrentiya,RU,2020-10-04 03:32:18,65.58,-171.0,36.81,80,96,15.77
328,Arraial Do Cabo,BR,2020-10-04 03:31:44,-22.97,-42.03,75.2,94,75,5.82
329,Arkhangelsk,RU,2020-10-04 03:35:01,64.54,40.54,30.2,100,1,4.47
330,Zyryanka,RU,2020-10-04 03:35:01,65.75,150.85,40.05,66,0,10.89
331,Santa Luzia,BR,2020-10-04 03:35:01,-19.77,-43.85,78.8,39,0,3.36
332,Tambura,SS,2020-10-04 03:32:30,5.6,27.47,67.8,96,90,3.31
333,Santa Maria,BR,2020-10-04 03:35:01,-29.68,-53.81,55.74,86,100,16.55
334,Laguna,US,2020-10-04 03:32:25,38.42,-121.42,79.0,53,1,6.06
335,Yelizovo,RU,2020-10-04 03:35:02,53.19,158.38,53.6,66,70,15.66
336,Ukrayinka,UA,2020-10-04 03:35:02,47.92,35.35,53.6,81,34,4.47
337,Soubre,CI,2020-10-04 03:35:02,5.79,-6.61,69.3,98,33,0.58
338,Whitianga,NZ,2020-10-04 03:32:30,-36.83,175.7,65.97,59,0,8.66
339,Abu Samrah,SY,2020-10-04 03:32:15,35.3,37.18,62.92,84,1,7.4
340,Praia,CV,2020-10-04 03:32:03,14.92,-23.51,78.8,74,40,9.17
341,Sungairaya,ID,2020-10-04 03:35:02,0.7,108.9,83.35,72,99,0.29
342,Frontera Comalapa,MX,2020-10-04 03:35:02,15.65,-92.13,67.51,82,100,2.77
343,Copiapo,CL,2020-10-04 03:31:55,-27.37,-70.33,51.8,81,98,2.24
344,Tuatapere,NZ,2020-10-04 03:31:56,-46.13,167.68,48.99,96,100,3.0
345,Havre,FR,2020-10-04 03:35:03,49.58,0.33,53.6,81,100,32.21
346,Iskateley,RU,2020-10-04 03:31:57,67.68,53.15,33.57,91,98,9.4
347,San Diego,US,2020-10-04 03:31:31,32.72,-117.16,78.8,65,1,1.07
348,Puerto Madero,MX,2020-10-04 03:35:03,14.72,-92.42,77.0,100,75,12.26
349,Mnogovershinnyy,RU,2020-10-04 03:32:23,53.94,139.92,42.8,94,100,13.53
350,Katherine,AU,2020-10-04 03:35:03,-14.47,132.27,93.2,30,100,5.82
351,Kavieng,PG,2020-10-04 03:32:07,-2.57,150.8,84.65,72,82,9.17
352,Athabasca,CA,2020-10-04 03:35:03,54.72,-113.29,55.87,71,53,8.52
353,Hobyo,SO,2020-10-04 03:31:53,5.35,48.53,78.06,81,100,11.43
354,Kingston,JM,2020-10-04 03:35:02,18.0,-76.79,82.4,78,20,16.11
355,Anloga,GH,2020-10-04 03:35:03,5.79,0.9,77.0,88,20,4.7
356,Stromness,GB,2020-10-04 03:35:04,58.97,-3.3,55.4,87,100,25.28
357,Paramonga,PE,2020-10-04 03:35:04,-10.67,-77.83,62.06,87,99,7.63
358,Haines Junction,CA,2020-10-04 03:35:04,60.75,-137.51,40.75,75,37,5.46
359,Halvad,IN,2020-10-04 03:35:04,23.02,71.18,84.51,61,0,10.4
360,Sao Jose Da Coroa Grande,BR,2020-10-04 03:32:10,-8.9,-35.15,74.03,82,60,6.35
361,Mountain Home,US,2020-10-04 03:35:04,43.13,-115.69,60.8,41,1,1.68
362,Vila Do Maio,CV,2020-10-04 03:35:04,15.13,-23.22,78.8,74,40,9.17
363,Pacific Grove,US,2020-10-04 03:29:10,36.62,-121.92,71.01,72,1,5.82
364,Taoudenni,ML,2020-10-04 03:32:28,22.68,-3.98,84.96,18,0,3.58
365,Flin Flon,CA,2020-10-04 03:35:04,54.77,-101.86,40.51,73,97,7.65
366,Akyab,MM,2020-10-04 03:35:05,20.15,92.9,84.99,79,60,11.34
367,Ust-Koksa,RU,2020-10-04 03:35:05,50.27,85.61,46.24,53,0,2.19
368,Southport,GB,2020-10-04 03:31:59,53.65,-3.01,50.0,83,100,9.71
369,Opuwo,NA,2020-10-04 03:35:05,-18.06,13.84,59.13,33,63,1.25
370,Saskylakh,RU,2020-10-04 03:31:45,71.92,114.08,24.24,95,100,15.26
371,Soyo,AO,2020-10-04 03:32:23,-6.13,12.37,75.6,83,100,8.79
372,Inuvik,CA,2020-10-04 03:35:05,68.35,-133.72,46.4,81,75,2.24
373,Nyurba,RU,2020-10-04 03:32:23,63.28,118.33,35.58,84,100,10.09
374,Miami,US,2020-10-04 03:34:15,25.77,-80.19,82.99,88,75,15.05
375,Baglung,NP,2020-10-04 03:35:05,28.27,83.59,80.53,51,5,2.86
376,Ipixuna,BR,2020-10-04 03:35:05,-1.76,-48.8,75.2,94,76,4.85
377,Usolye-Sibirskoye,RU,2020-10-04 03:35:05,52.75,103.65,43.7,54,15,4.14
378,Quatre Cocos,MU,2020-10-04 03:31:53,-20.21,57.76,73.99,94,75,3.36
379,Gudari,IN,2020-10-04 03:35:05,19.35,83.78,83.82,80,100,4.41
380,Coxim,BR,2020-10-04 03:35:06,-18.51,-54.76,85.5,19,1,1.34
381,Lugovoy,KZ,2020-10-04 03:35:06,42.95,72.76,60.71,32,0,2.82
382,Indianola,US,2020-10-04 03:35:06,41.36,-93.56,45.0,93,63,2.51
383,Santa Cruz,BO,2020-10-04 03:35:06,-17.8,-63.17,77.0,73,40,5.82
384,Ust-Maya,RU,2020-10-04 03:35:06,60.42,134.53,38.66,66,0,5.99
385,Cabo San Lucas,MX,2020-10-04 03:31:37,22.89,-109.91,84.2,58,5,8.32
386,Cockburn Town,TC,2020-10-04 03:31:57,21.46,-71.14,83.46,76,94,21.94
387,Meulaboh,ID,2020-10-04 03:32:20,4.14,96.13,86.09,59,100,6.85
388,Port Shepstone,ZA,2020-10-04 03:35:06,-30.74,30.45,64.36,91,98,16.6
389,Acari,PE,2020-10-04 03:35:06,-15.43,-74.62,62.13,71,81,4.74
390,Yanam,IN,2020-10-04 03:35:06,16.73,82.22,78.8,94,90,8.05
391,Mangai,CD,2020-10-04 03:31:56,-4.05,19.53,70.29,97,100,4.21
392,Samur,RU,2020-10-04 03:35:06,41.83,48.49,61.99,69,49,4.52
393,Gibara,CU,2020-10-04 03:35:07,21.11,-76.13,80.6,83,20,10.29
394,Bowen,AU,2020-10-04 03:33:18,-20.02,148.23,80.6,44,40,19.46
395,Wloclawek,PL,2020-10-04 03:35:07,52.65,19.07,64.31,75,64,18.16
396,Narsaq,GL,2020-10-04 03:31:38,60.92,-46.05,33.8,55,98,2.08
397,Namatanai,PG,2020-10-04 03:35:07,-3.67,152.43,83.17,78,73,11.21
398,Houma,US,2020-10-04 03:32:00,29.6,-90.72,57.99,86,39,1.52
399,Guerrero Negro,MX,2020-10-04 03:31:45,27.98,-114.06,76.95,55,0,12.08
400,Samana,DO,2020-10-04 03:35:07,19.21,-69.34,75.2,84,70,4.05
401,Kutahya,TR,2020-10-04 03:35:07,39.42,29.98,41.0,86,49,2.24
402,Diamantino,BR,2020-10-04 03:35:07,-14.41,-56.45,82.87,28,4,1.83
403,Korla,CN,2020-10-04 03:32:20,41.76,86.15,62.22,26,0,5.59
404,Sri Aman,MY,2020-10-04 03:35:07,1.24,111.46,84.2,79,40,1.19
405,Las Palmas,ES,2020-10-04 03:35:07,28.42,-14.01,71.6,88,90,10.29
406,Husavik,IS,2020-10-04 03:31:51,66.04,-17.34,37.4,100,90,3.36
407,Furano,JP,2020-10-04 03:35:07,43.28,142.47,64.4,34,75,9.17
408,Katsuura,JP,2020-10-04 03:31:48,35.13,140.3,80.01,78,75,4.7
409,Edmundston,CA,2020-10-04 03:35:08,47.37,-68.33,43.0,75,90,5.82
410,Solwezi,ZM,2020-10-04 03:35:08,-12.17,26.39,56.55,40,0,4.29
411,Zhanaozen,KZ,2020-10-04 03:35:08,43.3,52.8,57.79,33,20,9.08
412,Pisco,PE,2020-10-04 03:32:04,-13.7,-76.22,63.0,82,19,4.7
413,Hermon,US,2020-10-04 03:35:08,44.81,-68.91,42.01,93,20,1.79
414,Svetlaya,RU,2020-10-04 03:35:08,46.54,138.33,60.6,51,0,12.75
415,Bisira,PA,2020-10-04 03:30:08,8.52,-81.71,59.79,100,100,2.68
416,Praia Da Vitoria,PT,2020-10-04 03:35:08,38.73,-27.07,69.01,100,75,11.72
417,Isla Mujeres,MX,2020-10-04 03:35:08,21.23,-86.73,80.6,83,90,19.46
418,Kambove,CD,2020-10-04 03:35:08,-10.88,26.6,60.39,38,0,5.03
419,Viisoara,RO,2020-10-04 03:35:08,46.55,23.92,61.0,93,75,10.29
420,Dingle,PH,2020-10-04 03:31:58,11.0,122.67,87.33,70,57,4.52
421,Mount Isa,AU,2020-10-04 03:30:39,-20.73,139.5,87.8,23,0,12.75
422,Shoranur,IN,2020-10-04 03:35:08,10.77,76.28,77.0,83,40,3.8
423,Eyl,SO,2020-10-04 03:35:08,7.98,49.82,80.28,74,29,13.06
424,Watsa,CD,2020-10-04 03:35:09,3.04,29.54,62.49,100,74,2.13
425,Carutapera,BR,2020-10-04 03:35:09,-1.2,-46.02,78.46,82,16,7.61
426,Aykhal,RU,2020-10-04 03:32:24,66.0,111.5,30.2,100,90,6.71
427,Belsand,IN,2020-10-04 03:35:09,26.45,85.4,82.53,78,84,4.52
428,Youhao,CN,2020-10-04 03:35:09,47.87,128.83,53.6,58,100,4.29
429,Nesna,NO,2020-10-04 03:35:09,66.2,13.02,53.6,66,40,9.17
430,Madison,US,2020-10-04 03:30:12,34.73,-86.57,55.99,87,1,2.35
431,Montepuez,MZ,2020-10-04 03:35:09,-13.13,39.0,67.64,79,28,4.9
432,Malanje,AO,2020-10-04 03:35:09,-9.54,16.34,66.15,91,88,3.33
433,Tual,ID,2020-10-04 03:35:09,-5.67,132.75,79.84,83,100,12.24
434,Puerto Narino,CO,2020-10-04 03:32:14,-3.77,-70.38,75.2,100,75,1.19
435,Katsina,NG,2020-10-04 03:35:09,12.99,7.6,76.82,65,100,2.82
436,Parati,BR,2020-10-04 03:35:10,-23.22,-44.71,73.42,86,79,3.96
437,Tateyama,JP,2020-10-04 03:32:07,34.98,139.87,80.01,73,75,8.05
438,Ust-Kulom,RU,2020-10-04 03:35:10,61.69,53.69,32.23,95,17,3.33
439,Kapustin Yar,RU,2020-10-04 03:35:10,48.58,45.74,54.48,39,100,7.87
440,Gbadolite,CD,2020-10-04 03:35:10,4.28,21.02,68.81,90,86,1.5
441,Sibolga,ID,2020-10-04 03:32:03,1.74,98.78,87.3,57,58,4.05
442,Tuy Hoa,VN,2020-10-04 03:31:44,13.08,109.3,88.48,62,100,4.88
443,Shu,KZ,2020-10-04 03:35:10,43.6,73.76,60.76,33,21,4.36
444,Yamada,JP,2020-10-04 03:35:10,39.47,141.95,70.32,78,100,4.0
445,San Ignacio,BZ,2020-10-04 03:32:13,17.16,-89.07,75.99,80,99,4.76
446,Nuuk,GL,2020-10-04 03:32:15,64.18,-51.72,30.2,80,37,6.93
447,Hushitai,CN,2020-10-04 03:35:10,41.93,123.51,53.6,32,0,8.95
448,Petropavlovka,RU,2020-10-04 03:35:10,50.61,105.32,40.57,55,0,2.28
449,Alzamay,RU,2020-10-04 03:31:57,55.56,98.66,46.96,53,63,3.89
450,Lewisburg,US,2020-10-04 03:35:10,35.45,-86.79,55.0,93,28,1.57
451,Mana,GF,2020-10-04 03:32:18,5.66,-53.78,78.76,89,10,8.41
452,Chapais,CA,2020-10-04 03:35:11,49.78,-74.85,35.6,96,90,2.24
453,Los Llanos De Aridane,ES,2020-10-04 03:31:41,28.66,-17.92,73.4,78,75,12.75
454,Ahipara,NZ,2020-10-04 03:32:07,-35.17,173.17,62.85,57,0,3.27
455,Abu Dhabi,AE,2020-10-04 03:31:36,24.47,54.37,82.4,78,0,5.82
456,Mar Del Plata,AR,2020-10-04 03:29:11,-38.0,-57.56,44.01,72,40,9.17
457,Wukari,NG,2020-10-04 03:35:11,7.85,9.78,72.3,96,72,3.2
458,Jining,CN,2020-10-04 03:35:11,35.41,116.58,66.99,1,100,3.0
459,Foumbot,CM,2020-10-04 03:35:11,5.51,10.64,64.24,93,100,2.1
460,Kristianstad,SE,2020-10-04 03:35:11,56.03,14.15,60.8,93,94,15.43
461,Miyako,JP,2020-10-04 03:32:15,39.64,141.95,68.99,77,100,1.79
462,Rudnogorsk,RU,2020-10-04 03:35:11,57.26,103.75,38.35,73,80,6.78
463,Carnot,CF,2020-10-04 03:35:11,4.94,15.87,69.06,93,78,1.57
464,Vuktyl,RU,2020-10-04 03:35:11,63.86,57.31,32.4,95,22,6.06
465,Grand Gaube,MU,2020-10-04 03:32:26,-20.01,57.66,73.99,74,56,3.0
466,Port Hedland,AU,2020-10-04 03:31:51,-20.32,118.57,77.0,10,55,21.92
467,Myanaung,MM,2020-10-04 03:35:11,18.28,95.32,84.27,80,100,5.3
468,Kupang,ID,2020-10-04 03:35:12,-10.17,123.58,95.0,47,20,17.22
469,Fortuna,US,2020-10-04 03:31:43,40.6,-124.16,57.99,100,90,6.93
470,Nibe,DK,2020-10-04 03:35:12,56.98,9.64,60.01,94,100,11.01
471,Avera,US,2020-10-04 03:31:44,33.19,-82.53,57.2,87,1,4.7
472,Villazon,BO,2020-10-04 03:35:12,-22.09,-65.59,51.26,67,6,4.27
473,Pangoa,PE,2020-10-04 03:35:12,-12.12,-73.0,64.85,96,86,1.1
474,Maharajganj,IN,2020-10-04 03:35:12,27.13,83.57,82.4,100,75,3.36
475,Lamu,KE,2020-10-04 03:35:12,-2.27,40.9,77.47,80,54,10.11
476,Bouar,CF,2020-10-04 03:35:12,5.93,15.6,65.03,96,43,1.7
477,Ekhabi,RU,2020-10-04 03:35:12,53.51,142.97,53.38,87,91,16.46
478,Shache,CN,2020-10-04 03:35:12,38.42,77.24,64.38,27,3,11.68
479,Te Anau,NZ,2020-10-04 03:31:44,-45.42,167.72,59.74,70,100,7.02
480,Purranque,CL,2020-10-04 03:35:12,-40.92,-73.17,46.4,65,7,1.66
481,Bilibino,RU,2020-10-04 03:32:15,68.05,166.44,28.27,93,91,3.38
482,Kuloy,RU,2020-10-04 03:35:13,61.03,42.49,37.45,94,21,4.59
483,Moree,AU,2020-10-04 03:35:13,-29.47,149.85,82.4,21,0,9.17
484,Caravelas,BR,2020-10-04 03:32:16,-17.71,-39.25,72.88,89,1,7.2
485,Acarau,BR,2020-10-04 03:35:13,-2.89,-40.12,77.54,83,7,15.35
486,Petropavlovsk-Kamchatskiy,RU,2020-10-04 03:35:13,53.05,158.65,53.6,66,67,15.66
487,Ifakara,TZ,2020-10-04 03:35:13,-8.13,36.68,71.29,72,36,2.46
488,Znamenskoye,RU,2020-10-04 03:35:13,57.13,73.83,35.29,84,92,11.01
489,Anori,BR,2020-10-04 03:35:13,-3.77,-61.64,75.33,85,98,1.16
490,Cozumel,MX,2020-10-04 03:35:13,20.51,-86.95,78.01,55,100,11.99
491,Gat,IL,2020-10-04 03:32:15,31.61,34.76,70.0,79,1,3.58
492,Belmonte,BR,2020-10-04 03:32:18,-15.86,-38.88,73.4,83,20,10.29
493,Tautira,PF,2020-10-04 03:35:13,-17.73,-149.15,84.2,58,20,4.7
494,Port Lincoln,AU,2020-10-04 03:32:24,-34.73,135.87,53.55,88,100,25.17
495,Ostrovnoy,RU,2020-10-04 03:31:45,68.05,39.51,39.96,90,43,17.49
496,Uglich,RU,2020-10-04 03:35:13,57.53,38.33,49.23,84,100,7.31
497,Verkhnyachka,UA,2020-10-04 03:35:14,48.83,30.04,57.07,88,100,12.41
498,Sao Felix Do Xingu,BR,2020-10-04 03:31:58,-6.64,-51.99,78.4,49,37,1.61
499,Minab,IR,2020-10-04 03:35:14,27.15,57.08,80.6,88,20,4.7
500,Mehamn,NO,2020-10-04 03:35:14,71.04,27.85,44.26,82,10,11.54
501,Naryan-Mar,RU,2020-10-04 03:35:14,67.67,53.09,33.62,90,98,9.33
502,Kaihua,CN,2020-10-04 03:35:14,23.37,104.28,74.26,76,83,6.85
503,Talcahuano,CL,2020-10-04 03:35:14,-36.72,-73.12,48.2,70,17,5.82
504,Bud,US,2020-10-04 03:35:14,39.45,-86.18,54.0,66,90,5.37
505,Berezovyy,RU,2020-10-04 03:35:14,51.67,135.7,42.64,89,100,4.59
506,Severnoye,RU,2020-10-04 03:35:14,56.35,78.36,39.22,93,100,11.95
507,Yablochnyy,RU,2020-10-04 03:35:14,47.17,142.07,62.6,45,75,13.42
508,Nome,US,2020-10-04 03:31:58,64.5,-165.41,48.2,87,90,4.27
509,Yatou,CN,2020-10-04 03:35:15,37.15,122.38,61.97,56,96,21.36
510,Adra,ES,2020-10-04 03:35:15,36.75,-3.02,61.0,47,0,1.12
511,Sungaipenuh,ID,2020-10-04 03:35:15,-2.08,101.38,81.37,53,100,1.7
512,Grindavik,IS,2020-10-04 03:35:15,63.84,-22.43,41.0,93,90,13.87
513,Cabatuan,PH,2020-10-04 03:35:15,10.88,122.49,87.64,68,59,2.24
514,Ilulissat,GL,2020-10-04 03:30:56,69.22,-51.1,30.2,86,100,4.7
515,Cap Malheureux,MU,2020-10-04 03:35:15,-19.98,57.61,75.0,74,47,1.01
516,Port Augusta,AU,2020-10-04 03:35:15,-32.5,137.77,78.01,72,75,14.99
517,Verkhoyansk,RU,2020-10-04 03:35:15,67.54,133.38,38.52,65,92,18.14
518,Jinchang,CN,2020-10-04 03:35:15,38.5,102.17,46.13,47,0,10.65
519,At-Bashi,KG,2020-10-04 03:35:15,41.17,75.81,47.34,49,87,1.59
520,Oranjemund,NA,2020-10-04 03:35:15,-28.55,16.43,54.72,89,0,3.29
521,Taiyuan,CN,2020-10-04 03:35:16,37.87,112.56,48.2,29,0,4.47
522,Maxixe,MZ,2020-10-04 03:35:16,-23.86,35.35,73.09,83,86,9.73
523,Chernyshevskiy,RU,2020-10-04 03:35:16,63.01,112.47,33.98,90,99,9.35
524,Waverly,US,2020-10-04 03:35:16,42.74,-84.62,46.99,70,90,4.7
525,Tabou,CI,2020-10-04 03:32:25,4.42,-7.35,76.12,88,32,8.41
526,Vanimo,PG,2020-10-04 03:35:16,-2.67,141.3,86.23,65,62,8.66
527,Bajil,YE,2020-10-04 03:35:16,15.06,43.29,83.75,68,0,3.15
528,Winona,US,2020-10-04 03:33:17,43.97,-91.77,42.8,81,90,4.29
529,Darasun,RU,2020-10-04 03:35:16,51.67,114.0,37.4,55,75,17.9
530,Chenzhou,CN,2020-10-04 03:35:16,25.8,113.03,66.43,83,98,5.57
531,Bjerkvik,NO,2020-10-04 03:35:16,68.56,17.52,39.99,93,0,15.01
532,Menongue,AO,2020-10-04 03:35:16,-14.66,17.69,66.76,48,68,4.07
533,Necochea,AR,2020-10-04 03:32:13,-38.55,-58.74,39.0,73,0,1.99
534,Businga,CD,2020-10-04 03:35:17,3.33,20.88,68.68,91,80,1.34
535,Port-Gentil,GA,2020-10-04 03:32:15,-0.72,8.78,77.95,87,100,11.07
536,Holme,DK,2020-10-04 03:35:17,56.11,10.17,60.8,93,98,18.34
537,Porbandar,IN,2020-10-04 03:32:08,21.64,69.61,80.6,88,1,7.58
538,Vrnjacka Banja,RS,2020-10-04 03:35:17,43.62,20.9,71.6,64,100,21.92
539,Wewak,PG,2020-10-04 03:35:17,-3.55,143.63,85.28,67,8,8.81
540,Pimenta Bueno,BR,2020-10-04 03:35:17,-11.67,-61.19,77.27,72,27,1.86
541,Kargil,IN,2020-10-04 03:35:17,34.57,76.1,46.94,42,0,1.81
542,Woodward,US,2020-10-04 03:35:17,36.43,-99.39,53.01,57,1,4.7
543,Broome,US,2020-10-04 03:32:17,42.25,-75.83,43.0,70,1,2.21
544,Khasan,RU,2020-10-04 03:35:17,42.43,130.64,62.62,73,1,12.12
545,Marsa Matruh,EG,2020-10-04 03:35:17,31.35,27.25,71.6,78,0,4.47
546,Ishigaki,JP,2020-10-04 03:35:17,24.34,124.16,86.0,70,20,10.29
547,Clyde River,CA,2020-10-04 03:31:54,70.47,-68.59,24.8,73,75,5.82
548,Ha Giang,VN,2020-10-04 03:35:17,22.83,104.98,82.67,71,87,3.51
549,Waconia,US,2020-10-04 03:35:18,44.85,-93.79,42.01,85,40,5.12
550,Punta Gorda,US,2020-10-04 03:32:39,26.93,-82.05,75.2,94,90,11.41
551,Yar-Sale,RU,2020-10-04 03:32:21,66.83,70.83,32.94,88,4,18.34
552,Inyonga,TZ,2020-10-04 03:35:18,-6.72,32.07,64.99,55,21,5.1
553,Eenhana,NA,2020-10-04 03:35:18,-17.47,16.33,68.0,14,0,2.24
554,Wolverhampton,GB,2020-10-04 03:35:18,52.59,-2.12,48.0,96,100,15.95
555,San Quintin,MX,2020-10-04 03:31:49,30.48,-115.95,73.35,58,0,2.06
556,Eirunepe,BR,2020-10-04 03:30:45,-6.66,-69.87,73.87,86,63,0.72
557,Madang,PG,2020-10-04 03:35:18,-5.22,145.8,86.27,63,55,8.12
558,Aban,RU,2020-10-04 03:35:18,56.67,96.06,45.0,57,92,8.43
559,Selu,IN,2020-10-04 03:35:18,19.47,76.47,83.57,58,93,7.81
560,Kitakata,JP,2020-10-04 03:35:18,37.65,139.87,68.0,82,75,4.7
561,Qiqihar,CN,2020-10-04 03:35:18,47.34,123.97,47.08,84,100,14.61
562,Kushiro,JP,2020-10-04 03:35:18,42.98,144.37,62.6,88,75,4.7
563,Tongliao,CN,2020-10-04 03:32:35,43.61,122.27,53.4,42,17,15.64
564,Ambilobe,MG,2020-10-04 03:35:19,-13.2,49.05,76.42,66,49,5.21
565,Wabana,CA,2020-10-04 03:35:19,47.63,-52.95,55.99,93,90,13.87
566,Udachnyy,RU,2020-10-04 03:31:58,66.42,112.4,30.2,100,90,6.71
567,Lumeje,AO,2020-10-04 03:35:19,-11.55,20.78,69.91,51,8,4.09
568,Olovo,BA,2020-10-04 03:35:19,44.13,18.58,80.6,57,75,14.99
569,Rocha,UY,2020-10-04 03:35:19,-34.48,-54.33,45.28,83,48,6.55
570,Upington,ZA,2020-10-04 03:35:19,-28.45,21.26,46.4,42,0,1.12
571,Ugoofaaru,MV,2020-10-04 03:32:17,5.67,73.0,82.24,73,27,10.71
572,Kerema,PG,2020-10-04 03:35:19,-7.96,145.78,83.41,75,56,10.4
573,Labuan,MY,2020-10-04 03:35:20,5.28,115.24,78.8,88,40,3.36
574,Brigantine,US,2020-10-04 03:35:20,39.41,-74.36,59.0,87,1,6.11
575,Kalush,UA,2020-10-04 03:35:20,49.01,24.37,55.67,82,100,9.82
576,Huilong,CN,2020-10-04 03:35:20,31.81,121.66,70.0,96,100,3.0
577,Nabire,ID,2020-10-04 03:35:20,-3.37,135.48,78.49,82,100,6.87
578,Tazovskiy,RU,2020-10-04 03:35:20,67.47,78.7,32.97,92,100,23.22
579,Zharkent,KZ,2020-10-04 03:35:20,44.16,80.0,61.38,32,21,5.77
580,Sorland,NO,2020-10-04 03:31:52,67.67,12.69,51.94,77,0,16.91
581,Viedma,AR,2020-10-04 03:31:39,-40.81,-63.0,36.73,81,0,9.17
582,Whitehorse,CA,2020-10-04 03:35:20,60.72,-135.05,48.2,57,75,5.82
583,Cururupu,BR,2020-10-04 03:35:20,-1.83,-44.87,76.37,85,95,5.03
584,Saint-Louis,SN,2020-10-04 03:35:20,16.33,-15.0,83.16,65,3,11.5
585,Clifton,US,2020-10-04 03:35:20,40.86,-74.16,57.99,66,1,5.55
586,Mont-Joli,CA,2020-10-04 03:35:21,48.58,-68.19,42.8,70,20,6.93
587,North Myrtle Beach,US,2020-10-04 03:35:21,33.82,-78.68,64.4,72,90,10.29
588,Dunedin,NZ,2020-10-04 03:32:08,-45.87,170.5,55.0,74,100,11.01
589,Tungor,RU,2020-10-04 03:35:21,53.38,142.96,53.83,88,87,15.26
590,Coihaique,CL,2020-10-04 03:31:53,-45.58,-72.07,39.2,55,27,5.82
591,Tornio,FI,2020-10-04 03:35:21,65.85,24.15,42.8,93,42,8.05
592,Voh,NC,2020-10-04 03:35:21,-20.97,164.7,78.06,52,2,16.67
593,San Rafael,AR,2020-10-04 03:32:26,-34.62,-68.33,44.89,67,100,11.99
594,Ostersund,SE,2020-10-04 03:35:21,63.18,14.64,48.2,93,100,11.41
595,Hami,CN,2020-10-04 03:31:57,42.8,93.45,62.46,23,94,6.4
596,Krutinka,RU,2020-10-04 03:35:21,56.01,71.51,35.49,82,65,15.66
597,Ixtapa,MX,2020-10-04 03:35:21,20.7,-105.2,82.4,74,5,4.7
598,Dharchula,IN,2020-10-04 03:35:21,29.85,80.53,76.96,31,0,4.03
599,Vila Franca Do Campo,PT,2020-10-04 03:32:30,37.72,-25.43,66.2,93,75,13.87
600,Quelimane,MZ,2020-10-04 03:35:21,-17.88,36.89,69.8,94,90,1.54
601,Tiznit,MA,2020-10-04 03:32:03,29.58,-9.5,62.42,72,0,2.64
602,Paciran,ID,2020-10-04 03:35:22,-6.88,112.38,88.57,51,98,3.11
603,Rundu,NA,2020-10-04 03:35:22,-17.93,19.77,68.65,24,74,4.12
604,Manokwari,ID,2020-10-04 03:29:44,-0.87,134.08,77.27,88,100,0.51
605,Nipawin,CA,2020-10-04 03:35:22,53.37,-104.0,39.2,77,1,6.93
606,Sobolevo,RU,2020-10-04 03:32:04,54.43,31.9,50.09,64,97,13.73
607,Xai-Xai,MZ,2020-10-04 03:35:22,-25.05,33.64,70.54,87,93,5.75
608,Puerto Quijarro,BO,2020-10-04 03:35:22,-17.78,-57.77,86.02,42,0,7.4
609,Saint-Augustin,CA,2020-10-04 03:31:47,51.23,-58.65,43.03,76,47,6.93
610,Namibe,AO,2020-10-04 03:35:22,-15.2,12.15,67.37,66,93,6.8
611,Danshui,CN,2020-10-04 03:35:22,22.8,114.47,89.01,97,23,3.0
612,Beloha,MG,2020-10-04 03:35:22,-25.17,45.05,65.71,71,82,13.76
613,Oparino,RU,2020-10-04 03:35:22,59.85,48.28,32.14,97,0,3.56
614,Moses Lake,US,2020-10-04 03:33:42,47.13,-119.28,69.8,46,1,4.7
